# Date: 20170503
# RBS Modification: sd2
# Shock Rate: 0.2Hz
# Purpose: Process shock data from 20170503
# This experiment was conducted by shocking E. coli cells in which all seven
# mechanosensitive channel genes were removed from the chromosome. A single
# copy of mscL was introduced into the chromosome with the RBS modification
# sd2. These cells were hypo-osmotically shocked by flowing LB broth
# lacking sodium chloride at a rate of 0.2Hz monitored by the presence of
# and osmo-sensitive dye. Cells were manually marked for survivorship.
# Survivors were defined as those cells which were able to undergo two division
# events after the shock had taken place.
survival,intensity,area,flow_rate,date,rbs,mean_bg,exposure_ms
True,212265.52681994528,7.5520000000000005,0.2,20170503,sd2,136945.12292833786,50
True,202594.00549316913,4.454400000000001,0.2,20170503,sd2,141697.0649085198,50
True,228471.92226039182,9.5488,0.2,20170503,sd2,141697.0649085198,50
False,230736.86612667504,5.324800000000001,0.2,20170503,sd2,141466.84849627258,50
True,221924.10725547237,6.912,0.2,20170503,sd2,135147.84467996028,50
True,198931.11340446878,7.833600000000001,0.2,20170503,sd2,133474.10417700294,50
True,198931.11340446878,7.833600000000001,0.2,20170503,sd2,133474.10417700294,50
True,162332.00889364717,2.2272000000000003,0.2,20170503,sd2,128552.67912273243,50
True,162332.00889364717,2.2272000000000003,0.2,20170503,sd2,128552.67912273243,50
True,209911.57780518767,19.3792,0.2,20170503,sd2,131726.62258805643,50
True,209911.57780518767,19.3792,0.2,20170503,sd2,131726.62258805643,50
True,209911.57780518767,19.3792,0.2,20170503,sd2,131726.62258805643,50
True,239923.83789534032,5.9904,0.2,20170503,sd2,131726.62258805643,50
True,230107.02576328255,7.3472,0.2,20170503,sd2,131726.62258805643,50
True,230107.02576328255,7.3472,0.2,20170503,sd2,131726.62258805643,50
True,246634.28870247037,9.7024,0.2,20170503,sd2,131726.62258805643,50
True,246634.28870247037,9.7024,0.2,20170503,sd2,131726.62258805643,50
True,189626.1141488265,6.784000000000001,0.2,20170503,sd2,131726.62258805643,50
True,220736.42457926026,4.736000000000001,0.2,20170503,sd2,141029.65743716137,50
True,238153.84897169028,6.1696,0.2,20170503,sd2,141029.65743716137,50
False,182562.7857279691,6.7328,0.2,20170503,sd2,136346.01772786258,50
False,182562.7857279691,6.7328,0.2,20170503,sd2,136346.01772786258,50
False,227495.64281162352,8.9856,0.2,20170503,sd2,133872.46816739516,50
False,200088.0860188883,6.7584,0.2,20170503,sd2,133872.46816739516,50
True,227495.64281162352,8.9856,0.2,20170503,sd2,133872.46816739516,50
True,221679.32643170303,17.817600000000002,0.2,20170503,sd2,133872.46816739516,50
True,221679.32643170303,17.817600000000002,0.2,20170503,sd2,133872.46816739516,50
True,223536.90208180953,6.5792,0.2,20170503,sd2,133872.46816739516,50
False,213553.23425253163,8.2432,0.2,20170503,sd2,130576.62422282364,50
False,213553.23425253163,8.2432,0.2,20170503,sd2,130576.62422282364,50
False,226878.80111217004,9.7536,0.2,20170503,sd2,135470.02274852048,50
False,227778.44636446334,5.8368,0.2,20170503,sd2,137043.46251468456,50
False,244670.25290777406,9.984,0.2,20170503,sd2,137043.46251468456,50
False,237131.74321840785,6.0928,0.2,20170503,sd2,137043.46251468456,50
True,227778.44636446334,5.8368,0.2,20170503,sd2,137043.46251468456,50
True,244670.25290777406,9.984,0.2,20170503,sd2,137043.46251468456,50
True,227778.44636446334,5.8368,0.2,20170503,sd2,137043.46251468456,50
